0	2020-11-01
1	2020-11-02
2	2020-11-03
3	2020-11-04
4	2020-11-05
5	2020-11-06
6	2020-11-07
7	2020-11-08
8	2020-11-09
9	2020-11-10
10	2020-11-11
11	2020-11-12
12	2020-11-13
13	2020-11-14
14	2020-11-15
15	2020-11-16
16	2020-11-17
17	2020-11-18
18	2020-11-19
19	2020-11-20
20	2020-11-21
21	2020-11-22
22	2020-11-23
23	2020-11-24
24	2020-11-25
25	2020-11-26
26	2020-11-27
27	2020-11-28
28	2020-11-29
29	2020-11-30
30	2020-12-01
31	2020-12-02
32	2020-12-03
33	2020-12-04
34	2020-12-05
35	2020-12-06
36	2020-12-07
37	2020-12-08
38	2020-12-09
39	2020-12-10
40	2020-12-11
41	2020-12-12
42	2020-12-13
43	2020-12-14
44	2020-12-15
45	2020-12-16
46	2020-12-17
47	2020-12-18
48	2020-12-19
49	2020-12-20
50	2020-12-21
51	2020-12-22
52	2020-12-23
53	2020-12-24
54	2020-12-25
55	2020-12-26
56	2020-12-27
57	2020-12-28
58	2020-12-29
59	2020-12-30
60	2020-12-31
